<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;M;20110601;000000;1888.6000000;1950.4700000;1822.3800000;1906.7100000;9741199485
RTSI;M;20110701;000000;1906.7100000;2002.0900000;1887.0200000;1965.0200000;10531432834
RTSI;M;20110801;000000;1965.2600000;2011.6200000;1463.3800000;1702.2800000;12089646225
RTSI;M;20110901;000000;1702.2800000;1703.8600000;1263.4600000;1341.0900000;9825943604
RTSI;M;20111001;000000;1341.0900000;1628.3300000;1200.3400000;1563.2800000;8251497037
RTSI;M;20111101;000000;1563.2800000;1596.5600000;1368.5400000;1540.8100000;8794742288
RTSI;M;20111201;000000;1541.6700000;1567.2100000;1335.6600000;1381.8700000;7547027565
RTSI;M;20120101;000000;1381.8700000;1581.8100000;1379.8700000;1577.2900000;6594602801
RTSI;M;20120201;000000;1577.4600000;1743.2600000;1557.9400000;1734.9900000;6019240657
RTSI;M;20120301;000000;1734.9900000;1762.7100000;1607.4400000;1637.7300000;7013694763
RTSI;M;20120401;000000;1637.7300000;1687.2600000;1560.4600000;1593.9700000;5578702265
RTSI;M;20120501;000000;1593.9700000;1610.1100000;1238.8900000;1242.4300000;5569421176
RTSI;M;20120601;000000;1242.4300000;1361.0500000;1200.6700000;1350.5100000;9054053564
RTSI;M;20120701;000000;1350.5100000;1423.9900000;1291.9300000;1377.3500000;21705060594
RTSI;M;20120801;000000;1377.0600000;1463.2200000;1344.6200000;1389.7200000;21045381219
RTSI;M;20120901;000000;1386.6600000;1594.6300000;1385.2700000;1475.7000000;25352162343
RTSI;M;20121001;000000;1475.7000000;1527.7700000;1426.2600000;1433.9600000;21139148099
RTSI;M;20121101;000000;1433.9600000;1464.8200000;1356.4700000;1436.5500000;18457194511
RTSI;M;20121201;000000;1437.5100000;1537.4400000;1433.2000000;1526.9800000;17186933474
RTSI;M;20130101;000000;1526.9800000;1638.0800000;1526.9800000;1622.1300000;18193734994
RTSI;M;20130201;000000;1621.7100000;1637.6200000;1524.4600000;1534.4100000;19302703488
RTSI;M;20130301;000000;1534.4100000;1556.5800000;1432.3600000;1460.0400000;19496524805
RTSI;M;20130401;000000;1460.0400000;1460.0400000;1314.1200000;1407.2100000;20542716153
RTSI;M;20130501;000000;1407.2100000;1471.5600000;1321.8400000;1331.4300000;18933359270
RTSI;M;20130601;000000;1331.4300000;1343.2500000;1227.0100000;1275.4400000;17458875298
RTSI;M;20130701;000000;1275.4400000;1401.6400000;1252.9400000;1313.3800000;17864257519
RTSI;M;20130801;000000;1313.3800000;1359.4500000;1285.4200000;1290.9600000;14711779296
RTSI;M;20130901;000000;1290.9600000;1496.1400000;1285.2700000;1422.4900000;20931413609
RTSI;M;20131001;000000;1422.4900000;1521.0500000;1417.0700000;1480.4200000;23270713603
RTSI;M;20131101;000000;1480.4200000;1484.7400000;1393.0500000;1402.9300000;20399261590
RTSI;M;20131201;000000;1402.9300000;1467.8500000;1360.2500000;1442.7300000;20220065379
RTSI;M;20140101;000000;1442.7300000;1443.8500000;1286.6600000;1301.0200000;19527268120
RTSI;M;20140201;000000;1301.0200000;1359.5800000;1243.9600000;1267.2700000;18183294519
RTSI;M;20140301;000000;1239.7700000;1239.7700000;1016.0100000;1226.1000000;33881576039
RTSI;M;20140401;000000;1227.1300000;1241.9000000;1100.8500000;1155.7000000;24557011407
RTSI;M;20140501;000000;1151.7000000;1344.5300000;1134.3100000;1295.7500000;21801661618
RTSI;M;20140601;000000;1297.6100000;1421.0700000;1297.6100000;1366.0800000;19051061288
RTSI;M;20140701;000000;1361.4700000;1417.4100000;1198.3700000;1219.3600000;21193455898
RTSI;M;20140801;000000;1215.6300000;1280.0800000;1134.0400000;1190.2300000;17137216866
RTSI;M;20140901;000000;1192.8200000;1270.5300000;1121.2800000;1123.7200000;18037747094
RTSI;M;20141001;000000;1122.3900000;1135.8200000;1023.7800000;1091.4400000;17764202046
RTSI;M;20141101;000000;1085.2900000;1086.9000000;965.7200000;974.2700000;14467172010
RTSI;M;20141201;000000;963.6100000;981.9900000;578.2100000;790.7100000;18876587399
RTSI;M;20150101;000000;785.8000000;845.6500000;720.3100000;737.3500000;9987452750
RTSI;M;20150201;000000;754.8400000;937.0700000;725.1700000;896.6300000;13305302884
RTSI;M;20150301;000000;901.6200000;933.6500000;811.4100000;880.4200000;11799507795
RTSI;M;20150401;000000;878.5600000;1067.8500000;872.0300000;1029.3100000;15376354383
RTSI;M;20150501;000000;1033.0700000;1092.5200000;968.8100000;968.8100000;11174127792
RTSI;M;20150601;000000;975.6000000;989.8700000;904.7600000;939.9300000;10252586151
RTSI;M;20150701;000000;940.6800000;945.0400000;826.4400000;858.8200000;10888199080
RTSI;M;20150801;000000;852.8100000;859.8200000;708.2500000;833.6000000;9827732111
RTSI;M;20150901;000000;844.6000000;845.5200000;762.1200000;789.7300000;9030838707
RTSI;M;20151001;000000;791.8800000;897.7500000;759.9900000;845.5400000;12132173164
RTSI;M;20151101;000000;843.7900000;902.9100000;812.5600000;847.1000000;10962350241
RTSI;M;20151201;000000;845.8600000;850.3700000;750.3800000;757.0400000;9095114443
RTSI;M;20160101;000000;755.1600000;761.6800000;607.1600000;745.3000000;658698536
RTSI;M;20160201;000000;742.0300000;772.0800000;663.6100000;768.8000000;1968235986
RTSI;M;20160301;000000;771.7200000;894.7600000;770.8700000;876.2000000;11383423013
RTSI;M;20160401;000000;874.4100000;968.0300000;839.6200000;951.1100000;13458781461
RTSI;M;20160501;000000;941.8000000;949.3600000;873.5800000;904.3300000;9667978293
RTSI;M;20160601;000000;896.9700000;967.5800000;874.8800000;930.7700000;10327600424
RTSI;M;20160701;000000;931.2000000;975.2100000;910.7400000;927.5700000;9398264370
RTSI;M;20160801;000000;930.3800000;987.0700000;898.0500000;950.2500000;8566915784
RTSI;M;20160901;000000;952.9300000;1017.3200000;944.8800000;990.8800000;9306572771
RTSI;M;20161001;000000;993.1900000;1018.9800000;976.2600000;988.7400000;7685029206
RTSI;M;20161101;000000;989.9100000;1034.5300000;956.3600000;1029.0500000;11370483291
RTSI;M;20161201;000000;1036.6300000;1170.5100000;1036.6300000;1152.3300000;13204959881
RTSI;M;20170101;000000;1147.2900000;1195.6100000;1132.0400000;1164.1500000;11535903391
RTSI;M;20170201;000000;1162.0800000;1196.9900000;1096.5700000;1099.4600000;10485067622
RTSI;M;20170301;000000;1099.1100000;1139.7300000;1044.9600000;1113.7600000;12522718363
RTSI;M;20170401;000000;1118.9300000;1157.4500000;1062.9000000;1114.4300000;10750306234
RTSI;M;20170501;000000;1118.9500000;1129.4900000;1048.9300000;1053.3000000;11008354485
RTSI;M;20170601;000000;1058.7000000;1060.0800000;958.8300000;1000.9600000;13806305317
RTSI;M;20170701;000000;1008.4100000;1052.5900000;990.5100000;1007.1400000;10062705116
RTSI;M;20170801;000000;1014.9800000;1098.4600000;1010.5000000;1095.8400000;10662242756
RTSI;M;20170901;000000;1098.0800000;1144.1200000;1086.7700000;1136.7500000;11683572880
RTSI;M;20171001;000000;1138.2100000;1161.8200000;1105.5000000;1113.4100000;10608541159
RTSI;M;20171101;000000;1118.3400000;1170.4600000;1107.6500000;1131.5600000;15568529497
RTSI;M;20171201;000000;1133.5200000;1157.4300000;1113.0400000;1154.4300000;9467403136
